"","orig_student_id","module_number","time","temp_student_id"
"127",4859764,125,2015-03-02 21:04:31,3
"128",4859764,177,2015-03-02 21:04:32,3
"129",4859764,79,2015-03-02 21:04:30,3
"130",4859764,254,2015-03-02 21:04:35,3
"131",4859764,24,2015-03-02 21:04:29,3
"132",4859764,89,2015-03-02 21:04:30,3
"133",4859764,115,2015-03-02 21:04:31,3
"134",4859764,67,2015-03-02 21:04:29,3
"135",4859764,53,2015-02-12 16:00:53,3
"136",4859764,255,2015-03-02 21:04:35,3
"137",4859764,161,2015-03-02 21:04:32,3
"138",4859764,242,2015-03-02 21:04:34,3
"139",4859764,62,2015-03-02 21:04:30,3
"140",4859764,130,2015-03-02 21:04:31,3
"141",4859764,191,2015-03-02 21:04:33,3
"142",4859764,47,2015-02-12 16:00:53,3
"143",4859764,41,2015-02-12 16:00:53,3
"144",4859764,234,2015-03-02 21:04:34,3
"145",4859764,74,2015-03-02 21:04:29,3
"146",4859764,118,2015-03-02 21:04:31,3
"147",4859764,88,2015-03-02 21:04:30,3
"148",4859764,202,2015-03-02 21:04:33,3
"149",4859764,192,2015-03-02 21:04:33,3
"150",4859764,38,2015-02-12 16:00:52,3
"151",4859764,208,2015-03-02 21:04:33,3
"152",4859764,63,2015-03-02 21:04:30,3
"153",4859764,95,2015-03-02 21:04:30,3
"154",4859764,113,2015-03-02 21:04:31,3
"155",4859764,46,2015-02-12 16:00:53,3
"156",4859764,186,2015-03-02 21:04:33,3
"157",4859764,35,2015-02-12 16:00:52,3
"158",4859764,257,2015-03-02 21:04:35,3
"159",4859764,171,2015-03-02 21:04:32,3
"160",4859764,243,2015-03-02 21:04:34,3
"161",4859764,60,2015-03-02 21:04:30,3
"162",4859764,206,2015-03-02 21:04:33,3
"163",4859764,83,2015-03-02 21:04:30,3
"164",4859764,68,2015-03-02 21:04:29,3
"165",4859764,268,2015-03-02 21:04:34,3
"166",4859764,265,2015-03-02 21:04:34,3
"167",4859764,102,2015-03-02 21:04:31,3
"168",4859764,73,2015-03-02 21:04:29,3
"169",4859764,15,2015-03-02 21:04:29,3
"170",4859764,193,2015-03-02 21:04:33,3
"171",4859764,49,2015-02-12 16:00:53,3
"172",4859764,144,2015-03-02 21:04:32,3
"173",4859764,143,2015-03-02 21:04:32,3
"174",4859764,198,2015-03-02 21:04:33,3
"175",4859764,248,2015-03-02 21:04:34,3
"176",4859764,204,2015-03-02 21:04:33,3
"177",4859764,84,2015-03-02 21:04:30,3
"178",4859764,9,2015-02-03 14:31:20,3
"179",4859764,241,2015-03-02 21:04:34,3
"180",4859764,20,2015-03-02 21:04:29,3
"181",4859764,40,2015-02-12 16:00:53,3
"182",4859764,154,2015-03-02 21:04:32,3
"183",4859764,166,2015-03-02 21:04:32,3
"184",4859764,223,2015-03-02 21:04:34,3
"185",4859764,258,2015-03-02 21:04:35,3
"186",4859764,119,2015-03-02 21:04:31,3
"187",4859764,70,2015-03-02 21:04:29,3
"188",4859764,209,2015-03-02 21:04:33,3
"189",4859764,181,2015-03-02 21:04:33,3
"190",4859764,134,2015-03-02 21:04:31,3
"191",4859764,190,2015-03-02 21:04:33,3
"192",4859764,240,2015-03-02 21:04:34,3
"193",4859764,178,2015-03-02 21:04:32,3
"194",4859764,25,2015-03-02 21:04:29,3
"195",4859764,98,2015-03-02 21:04:30,3
"196",4859764,149,2015-03-02 21:04:32,3
"197",4859764,267,2015-03-02 21:04:34,3
"198",4859764,32,2015-02-12 16:00:53,3
"199",4859764,54,2015-02-12 16:01:36,3
"200",4859764,2,2015-02-03 14:12:13,3
"201",4859764,27,2015-02-12 16:01:23,3
"202",4859764,7,2015-02-03 14:31:20,3
"203",5707678,120,2015-03-04 15:01:24,3
