"","temp_student_id","number_accesses"
"1031",1031,8
"1032",1032,42
"1033",1033,11
"1034",1034,10
"1035",1035,9
"1036",1036,10
"1037",1037,42
"1038",1038,10
"1039",1039,87
"1040",1040,77
"1041",1041,11
"1042",1042,181
"1043",1043,4
"1044",1044,154
"1045",1045,86
"1046",1046,32
"1047",1047,69
"1048",1048,3
"1049",1049,90
"1050",1050,3
"1051",1051,63
"1052",1052,3
"1053",1053,240
"1054",1054,13
"1055",1055,46
"1056",1056,3
"1057",1057,16
"1058",1058,20
"1059",1059,11
"1060",1060,60
"1061",1061,9
"1062",1062,11
"1063",1063,62
"1064",1064,3
"1065",1065,35
"1066",1066,3
"1067",1067,147
"1068",1068,238
"1069",1069,16
"1070",1070,95
"1071",1071,3
"1072",1072,3
"1073",1073,21
"1074",1074,16
"1075",1075,242
"1076",1076,228
"1077",1077,3
"1078",1078,53
"1079",1079,208
"1080",1080,151
"1081",1081,4
"1082",1082,168
"1083",1083,194
"1084",1084,19
"1085",1085,16
"1086",1086,56
"1087",1087,262
"1088",1088,241
"1089",1089,18
"1090",1090,16
"1091",1091,12
"1092",1092,3
"1093",1093,9
"1094",1094,8
"1095",1095,17
"1096",1096,12
"1097",1097,3
"1098",1098,181
"1099",1099,42
"1100",1100,99
"1101",1101,53
"1102",1102,9
"1103",1103,122
"1104",1104,11
"1105",1105,113
"1106",1106,3
"1107",1107,3
"1108",1108,13
"1109",1109,179
"1110",1110,115
"1111",1111,202
"1112",1112,152
"1113",1113,17
"1114",1114,3
"1115",1115,36
"1116",1116,3
"1117",1117,9
"1118",1118,3
"1119",1119,5
"1120",1120,44
"1121",1121,15
"1122",1122,174
"1123",1123,8
"1124",1124,10
"1125",1125,53
"1126",1126,27
"1127",1127,28
"1128",1128,54
"1129",1129,9
"1130",1130,30
"1131",1131,3
"1132",1132,207
"1133",1133,20
"1134",1134,8
"1135",1135,4
"1136",1136,115
"1137",1137,243
"1138",1138,26
"1139",1139,10
"1140",1140,66
"1141",1141,38
"1142",1142,194
"1143",1143,10
"1144",1144,89
"1145",1145,62
"1146",1146,9
"1147",1147,187
"1148",1148,4
"1149",1149,15
"1150",1150,10
"1151",1151,9
"1152",1152,37
"1153",1153,125
"1154",1154,13
"1155",1155,23
"1156",1156,10
"1157",1157,12
"1158",1158,4
"1159",1159,10
"1160",1160,69
"1161",1161,58
"1162",1162,58
"1163",1163,10
"1164",1164,177
"1165",1165,34
"1166",1166,6
"1167",1167,4
"1168",1168,3
"1169",1169,6
"1170",1170,55
"1171",1171,4
"1172",1172,9
"1173",1173,78
"1174",1174,153
"1175",1175,201
"1176",1176,3
"1177",1177,223
"1178",1178,14
"1179",1179,4
"1180",1180,4
"1181",1181,71
"1182",1182,203
"1183",1183,11
"1184",1184,3
"1185",1185,63
"1186",1186,181
"1187",1187,4
"1188",1188,263
"1189",1189,94
"1190",1190,19
"1191",1191,3
"1192",1192,229
"1193",1193,3
"1194",1194,11
"1195",1195,60
"1196",1196,4
"1197",1197,4
"1198",1198,4
"1199",1199,178
"1200",1200,31
"1201",1201,7
"1202",1202,4
"1203",1203,4
"1204",1204,198
"1205",1205,46
"1206",1206,3
"1207",1207,10
"1208",1208,4
"1209",1209,9
"1210",1210,3
"1211",1211,129
"1212",1212,219
"1213",1213,118
"1214",1214,4
"1215",1215,29
"1216",1216,9
"1217",1217,209
"1218",1218,10
"1219",1219,206
"1220",1220,16
"1221",1221,105
"1222",1222,10
"1223",1223,4
"1224",1224,8
"1225",1225,3
"1226",1226,9
"1227",1227,196
"1228",1228,48
"1229",1229,144
"1230",1230,64
"1231",1231,3
"1232",1232,3
"1233",1233,10
"1234",1234,27
"1235",1235,202
"1236",1236,3
